name,output,exists,acc,macro_f1,balanced_acc,mae_mean,mae_sbp,mae_dbp,bias_sbp,bias_dbp,sbp_mean_error,sbp_sd_error,dbp_mean_error,dbp_sd_error,sbp_within_5,sbp_within_10,sbp_within_15,sbp_grade,dbp_within_5,dbp_within_10,dbp_within_15,dbp_grade,high_n,high_bias_sbp,high_bias_dbp,crisis_n,crisis_bias_sbp,crisis_bias_dbp,selected_regression_candidate,selected_classification_candidate,classification_source,support_calibration,support_shrinkage,selected_tail_correction_candidate,crisis_tail_fusion_candidate,kind,paper_title,paper_url,module_removed,mode,head_policy,head_source_output,completed,has_protocol_summary,has_final_results,has_paper_metrics,has_selected_strategy,has_bp_range_metrics,has_runtime_metrics,missing_outputs,search_profile,head_epochs,head_patience,head_min_epochs,runtime_seconds,delta_mae_mean_vs_full,delta_mae_sbp_vs_full,delta_mae_dbp_vs_full,delta_acc_vs_full,delta_macro_f1_vs_full,delta_balanced_acc_vs_full,delta_high_bias_sbp_vs_full,delta_high_bias_dbp_vs_full,delta_crisis_bias_sbp_vs_full,delta_crisis_bias_dbp_vs_full,effect_summary,paper_ablation_validity,use_in_main_ablation_table,paper_note,run_tag,noise_macro_f1_auc,noise_accuracy_auc,missing_ppg_macro_f1_auc,missing_ecg_macro_f1_auc,conformal_coverage_sbp_a10,conformal_coverage_dbp_a10,conformal_miw_sbp_a10,conformal_miw_dbp_a10,subject_gain_optlong_mean,subject_gain_dualmax_mean,delta_noise_macro_f1_auc_vs_full,delta_missing_ppg_macro_f1_auc_vs_full,delta_missing_ecg_macro_f1_auc_vs_full,delta_subject_gain_optlong_mean_vs_full,delta_subject_gain_dualmax_mean_vs_full,ablation_reference
v10.11,mimic_bp_reg_v10_11_subjectdisjoint_piso_uncertainty_moe_fulltrain_crisisdebias_proto,True,0.8122807017543859,0.7334048956487922,0.751738213088013,6.086580038070679,7.729466438293457,4.4436936378479,3.4492247104644775,1.2393072843551636,3.4492247104644775,10.173064231872559,1.2393072843551636,6.245297431945801,0.45789473684210524,0.7278508771929825,0.8686403508771929,C,0.6721491228070176,0.9046052631578947,0.968421052631579,A,327.0,6.2399702072143555,2.929811716079712,1.0,-12.794830322265625,1.769866943359375,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.854_over_ens_top7_ppg+identity,,,,identity+identity+crisis_debias_ht0p2_ct0p12_g1p1_sq0p9_dq0p85_cg2p2_sm3p0_dm1p5_ug0p25_ms0p85_eg0p7,crisis_debias_ht0p2_ct0p12_g1p1_sq0p9_dq0p85_cg2p2_sm3p0_dm1p5_ug0p25_ms0p85_eg0p7,main_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v10.17,mimic_bp_reg_v10_17_subjectdisjoint_paretoordinal_crisiscal_proto,True,0.7993421052631579,0.7143201491621354,0.7373947356947662,5.89726185798645,7.344570636749268,4.449953079223633,1.199323296546936,1.078979730606079,1.199323296546936,10.21092414855957,1.078979730606079,6.192032337188721,0.4824561403508772,0.7524122807017544,0.8776315789473684,C,0.6717105263157894,0.9057017543859649,0.969078947368421,A,327.0,-0.8843829035758972,1.6555397510528564,1.0,-18.28265380859375,-1.590179443359375,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.888_over_mix_opt5_dual_hybrid_d30_g65_gamma110_tail100+identity,,,,ridge_l16p0_s50_sig25_sbp124+relbias_s0p08_b1p25_rf0_dg0p75_hg0p55_cg1p65_nf0_ht0p32_ct0p3_hf0_cf0+identity,identity,main_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v10.18,mimic_bp_reg_v10_18_subjectdisjoint_baselineguard_crisisrepair_proto,True,0.8212719298245614,0.7345077016137826,0.7434664972539403,5.690209150314331,7.1534199714660645,4.226998329162598,0.759187638759613,0.41485661268234253,0.759187638759613,9.998395919799805,0.41485661268234253,6.0918121337890625,0.4921052631578947,0.762280701754386,0.8853070175438597,C,0.7,0.9098684210526315,0.9728070175438597,A,327.0,-0.5935563445091248,0.2371484637260437,1.0,-19.531234741210938,0.238128662109375,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.830_over_mix_opt5_dual_raw_d30_g65_gamma110_tail100+evidfuse_s0p04_b1p1_dg0p35_hg1p15_cg0p35_rf0p14_s10_s20p04,,,,identity+relbias_s0_b1p55_rf0_dg0_hg0_cg0_nf0_ht0p32_ct0p04_hf2_cf0+identity,identity,main_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ann_lstm_ecg_ppg,mimic_bp_compare_v10_18_ann_lstm_ecg_ppg_proto,True,0.6120614035087719,0.33783723175678376,0.3498000332669259,14.786888599395752,20.6780948638916,8.895682334899902,-1.0724605321884155,4.247708320617676,-1.0724605321884155,28.255258560180664,4.247708320617676,10.735180854797363,0.20175438596491227,0.38092105263157894,0.5177631578947368,D,0.3787280701754386,0.6370614035087719,0.8116228070175439,D,327.0,-23.969192504882812,-8.616323471069336,1.0,-46.853912353515625,-48.36377716064453,ann_lstm_ecg_ppg,ann_lstm_ecg_ppg_regression,regression,subject_affine,0.85,,,comparison_baseline,Cuffless blood pressure estimation from ECG and PPG using waveform based ANN-LSTM network,https://doi.org/10.1016/j.bspc.2019.02.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg_bilstm_attention,mimic_bp_compare_v10_18_ppg_bilstm_attention_proto,True,0.5741228070175438,0.3497276612543334,0.3945488179924984,15.885523319244385,23.627347946166992,8.143698692321777,7.422605514526367,3.4999871253967285,7.422605514526367,31.257123947143555,3.4999871253967285,10.149616241455078,0.1986842105263158,0.3756578947368421,0.4875,D,0.42390350877192984,0.6835526315789474,0.8414473684210526,D,327.0,-5.012575626373291,-8.989973068237305,1.0,-84.98363494873047,-47.14893341064453,ppg_bilstm_attention,ppg_bilstm_attention_regression,regression,subject_affine,0.85,,,comparison_baseline,Deep learning models for cuffless blood pressure monitoring from PPG signals using attention mechanism,https://doi.org/10.1016/j.bspc.2020.102301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bpnet_cnn,mimic_bp_compare_v10_18_bpnet_cnn_proto,True,0.5956140350877193,0.3451342678730165,0.3614213880773206,14.897197246551514,21.190580368041992,8.603814125061035,1.8456743955612183,4.141759872436523,1.8456743955612183,29.00707244873047,4.141759872436523,10.416855812072754,0.21030701754385964,0.3796052631578947,0.5039473684210526,D,0.3975877192982456,0.6554824561403508,0.8241228070175438,D,327.0,-14.606680870056152,-9.07241153717041,1.0,-95.81553649902344,-48.18116760253906,bpnet_cnn,bpnet_cnn_regression,regression,subject_affine,0.85,,,comparison_baseline,BP-Net: Cuff-less and non-invasive blood pressure estimation via a generic deep convolutional architecture,https://doi.org/10.1016/j.bspc.2022.103850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_bp_mixer,mimic_bp_compare_v10_18_mlp_bp_mixer_proto,True,0.5677631578947369,0.30889937972828324,0.32735441213195116,16.332159996032715,23.872936248779297,8.791383743286133,3.437410593032837,4.13852071762085,3.437410593032837,32.201751708984375,4.13852071762085,10.541626930236816,0.1857456140350877,0.3480263157894737,0.46864035087719297,D,0.3831140350877193,0.6385964912280702,0.8107456140350877,D,327.0,-23.700315475463867,-10.67399787902832,1.0,-36.26556396484375,-46.67696762084961,mlp_bp_mixer,mlp_bp_mixer_regression,regression,subject_affine,0.85,,,comparison_baseline,MLP-BP: cuffless BP measurement with PPG and ECG based on MLP-Mixer neural networks,https://doi.org/10.1016/j.bspc.2021.103404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piso_transformer,mimic_bp_compare_v10_18_piso_transformer_proto,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comparison_baseline,PiSO model-selection branch for ABP estimation on MIMIC-IV,https://doi.org/10.1109/ACCESS.2026.3665255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mufubp_dual_feature_pfe,mimic_bp_compare_v10_18_mufubp_dual_feature_pfe_proto,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comparison_baseline,MuFuBP-Net multimodal fusion with dual-feature pipeline and probabilistic feature encoder,https://doi.org/10.1109/JBHI.2025.3563852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,mimic_bp_ablation_v10_18_litetrain_full_proto,True,0.8199561403508772,0.738355329904202,0.7535065287986843,5.785223484039307,7.097893714904785,4.472553253173828,1.085371732711792,1.4143122434616089,1.085371732711792,9.908923149108887,1.4143122434616089,6.0920491218566895,0.49451754385964913,0.7660087719298245,0.8837719298245614,C,0.6664473684210527,0.9089912280701754,0.9723684210526315,A,327.0,-0.7422114610671997,1.9281352758407593,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p12_b1p1_dg0_hg0p8_cg0_rf0p08_s10_s20,,,,identity+relbias_s0p16_b1_rf0_dg0_hg0_cg1p1_nf0_ht0p14_ct0p18_hf0_cf0+identity,identity,lite_train_ablation,,,none,trained_short_head_reduced_search,variant_lite_trained,,True,True,True,True,True,True,True,,tiny,32,8,8,,0,0,0,0,0,0,0,0,0,0,dMAE=0; dAcc=0; dMacroF1=0; dHighSBPBias=0,reference,True,Full lite-train v10.18 reference for ablation deltas.,,,,,,,,,,,,,,,,,
