name,kind,module_removed,mode,head_policy,head_source_output,output,exists,completed,has_protocol_summary,has_final_results,has_paper_metrics,has_selected_strategy,has_bp_range_metrics,has_runtime_metrics,missing_outputs,search_profile,head_epochs,head_patience,head_min_epochs,acc,macro_f1,balanced_acc,mae_mean,mae_sbp,mae_dbp,bias_sbp,bias_dbp,sbp_mean_error,sbp_sd_error,dbp_mean_error,dbp_sd_error,sbp_within_5,sbp_within_10,sbp_within_15,sbp_grade,dbp_within_5,dbp_within_10,dbp_within_15,dbp_grade,high_n,high_bias_sbp,high_bias_dbp,crisis_n,crisis_bias_sbp,crisis_bias_dbp,selected_regression_candidate,selected_classification_candidate,selected_tail_correction_candidate,crisis_tail_fusion_candidate,runtime_seconds,delta_mae_mean_vs_full,delta_mae_sbp_vs_full,delta_mae_dbp_vs_full,delta_acc_vs_full,delta_macro_f1_vs_full,delta_balanced_acc_vs_full,delta_high_bias_sbp_vs_full,delta_high_bias_dbp_vs_full,delta_crisis_bias_sbp_vs_full,delta_crisis_bias_dbp_vs_full,effect_summary,paper_ablation_validity,use_in_main_ablation_table,paper_note
full,lite_train_ablation,none,trained_short_head_reduced_search,variant_lite_trained,,mimic_bp_ablation_v10_18_litetrain_full_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8199561403508772,0.738355329904202,0.7535065287986843,5.785223484039307,7.097893714904785,4.472553253173828,1.085371732711792,1.4143122434616089,1.085371732711792,9.908923149108887,1.4143122434616089,6.0920491218566895,0.49451754385964913,0.7660087719298245,0.8837719298245614,C,0.6664473684210527,0.9089912280701754,0.9723684210526315,A,327.0,-0.7422114610671997,1.9281352758407593,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p12_b1p1_dg0_hg0p8_cg0_rf0p08_s10_s20,identity+relbias_s0p16_b1_rf0_dg0_hg0_cg1p1_nf0_ht0p14_ct0p18_hf0_cf0+identity,identity,,0,0,0,0,0,0,0,0,0,0,dMAE=0; dAcc=0; dMacroF1=0; dHighSBPBias=0,reference,True,Full lite-train v10.18 reference for ablation deltas.
no_tail_reweighting,lite_train_ablation,tail-aware train/head reweighting,trained_short_head_reduced_search,variant_lite_trained,,mimic_bp_ablation_v10_18_litetrain_no_tail_reweighting_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8199561403508772,0.738355329904202,0.7535065287986843,5.785223484039307,7.097893714904785,4.472553253173828,1.085371732711792,1.4143122434616089,1.085371732711792,9.908923149108887,1.4143122434616089,6.0920491218566895,0.49451754385964913,0.7660087719298245,0.8837719298245614,C,0.6664473684210527,0.9089912280701754,0.9723684210526315,A,327.0,-0.7422114610671997,1.9281352758407593,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p12_b1p1_dg0_hg0p8_cg0_rf0p08_s10_s20,identity+relbias_s0p16_b1_rf0_dg0_hg0_cg1p1_nf0_ht0p14_ct0p18_hf0_cf0+identity,identity,,0,0,0,0,0,0,0,0,0,0,dMAE=0; dAcc=0; dMacroF1=0; dHighSBPBias=0,tail_head_ablation_no_observed_effect,False,"This row now removes tail emphasis in the trainable lite head stage. If the effect remains small, report it as evidence that aggregate metrics are insensitive to tail reweighting under the frozen-backbone protocol."
no_accf1_targeted_head,lite_train_ablation,accuracy/F1-targeted feature-head ranking,trained_short_head_reduced_search,variant_lite_trained,,mimic_bp_ablation_v10_18_litetrain_no_accf1_targeted_head_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8133771929824561,0.7357465251842646,0.7627479134023418,5.800876140594482,7.31971549987793,4.282036781311035,1.1512720584869385,0.5382786989212036,1.1512720584869385,10.116477012634277,0.5382786989212036,6.125283718109131,0.4791666666666667,0.756578947368421,0.8824561403508772,C,0.6951754385964912,0.9109649122807018,0.9717105263157895,A,327.0,1.0742089748382568,0.858468234539032,1.0,-17.557769775390625,3.2881393432617188,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.789_over_mix_opt10_dual_raw_d60_g30_gamma110_tail100+evidfuse_s0p04_b1p1_dg0_hg0_cg0_rf0_s10p04_s20,identity+relbias_s0_b1p55_rf0_dg0_hg0_cg0_nf0_ht0p22_ct0p1_hf4_cf0+identity,identity,,0.0156527,0.221822,-0.190516,-0.00657895,-0.0026088,0.00924138,1.81642,-1.06967,3.90405,4.38356,dMAE=0.0156527; dAcc=-0.00657895; dMacroF1=-0.0026088; dHighSBPBias=1.81642,paper_usable,True,
no_guided_policy_search,lite_train_ablation,guided class-prior policy search,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_guided_policy_search_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8177631578947369,0.7326470467633693,0.7437499596481968,5.843811273574829,7.120164394378662,4.567458152770996,1.1691381931304932,1.566240668296814,1.1691381931304932,9.920388221740723,1.566240668296814,6.1649980545043945,0.4932017543859649,0.7635964912280702,0.8844298245614035,C,0.6546052631578947,0.9057017543859649,0.9717105263157895,A,327.0,-0.27814584970474243,2.629699468612671,1.0,-21.458221435546875,-0.29000091552734375,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.818_over_mix_opt0_dual_raw_d30_g70_gamma110_tail100+identity,identity+relbias_s0p16_b1p55_rf0_dg0p75_hg0p55_cg1p1_nf0_ht0p22_ct0p18_hf0_cf0+identity,identity,,0.0585878,0.0222707,0.0949049,-0.00219298,-0.00570828,-0.00975657,0.464066,0.701564,0.00360107,0.80542,dMAE=0.0585878; dAcc=-0.00219298; dMacroF1=-0.00570828; dHighSBPBias=0.464066,paper_usable,True,
no_classification_arbiter,lite_train_ablation,classification arbiter search,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_classification_arbiter_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8116228070175439,0.7311840330264986,0.7526787103735056,5.824893951416016,7.084174156188965,4.565613746643066,1.1576024293899536,1.5938199758529663,1.1576024293899536,9.869257926940918,1.5938199758529663,6.126850128173828,0.49407894736842106,0.7664473684210527,0.8859649122807017,C,0.6526315789473685,0.9050438596491228,0.9730263157894737,A,327.0,-0.41163015365600586,2.547191619873047,1.0,-21.4752197265625,-0.7926406860351562,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+identity,identity+relbias_s0p16_b1p55_rf0_dg0p75_hg0p55_cg1p1_nf0_ht0p14_ct0p18_hf0_cf0+identity,identity,,0.0396705,-0.0137196,0.0930605,-0.00833333,-0.0071713,-0.000827818,0.330581,0.619056,-0.0133972,0.30278,dMAE=0.0396705; dAcc=-0.00833333; dMacroF1=-0.0071713; dHighSBPBias=0.330581,paper_usable,True,
no_baseline_guarded_selector,lite_train_ablation,v10.18 baseline-aware selection objectives,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_baseline_guarded_selector_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8177631578947369,0.7332284264972231,0.7451738844043481,5.843280792236328,7.1405134201049805,4.546048164367676,1.1956467628479004,1.530818223953247,1.1956467628479004,9.963714599609375,1.530818223953247,6.141833782196045,0.4923245614035088,0.7620614035087719,0.8826754385964912,C,0.6546052631578947,0.906359649122807,0.9712719298245615,A,327.0,-0.3986961543560028,1.9568666219711304,1.0,-21.458297729492188,-0.9348220825195312,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.825_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p04_b1p1_dg0_hg0_cg0_rf0p08_s10p04_s20p08,identity+relbias_s0p16_b1p55_rf0_dg0p75_hg0p55_cg0_nf0_ht0p14_ct0p1_hf0_cf0+identity,identity,,0.0580573,0.0426197,0.0734949,-0.00219298,-0.0051269,-0.00833264,0.343515,0.0287313,0.00352478,0.160599,dMAE=0.0580573; dAcc=-0.00219298; dMacroF1=-0.0051269; dHighSBPBias=0.343515,paper_usable,True,
no_reliability_bias_calibration,lite_train_ablation,high-range reliability bias calibration,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_reliability_bias_calibration_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8206140350877194,0.7363125176282015,0.7472234223037816,5.652713060379028,7.100703716278076,4.2047224044799805,0.6821598410606384,0.3902778625488281,0.6821598410606384,9.964111328125,0.3902778625488281,6.058355331420898,0.49912280701754386,0.762280701754386,0.8866228070175438,C,0.700219298245614,0.9114035087719298,0.9730263157894737,A,327.0,-1.146803379058838,0.06705529987812042,1.0,-21.114822387695312,-2.0885696411132812,,,,identity,,-0.13251,0.00281,-0.267831,0.000657895,-0.00204281,-0.00628311,-0.404592,-1.86108,0.347,-0.993149,dMAE=-0.13251; dAcc=0.000657895; dMacroF1=-0.00204281; dHighSBPBias=-0.404592,tradeoff_result,True,"Removing this module improves aggregate MAE but weakens bias control; frame this as an accuracy-bias tradeoff, not a pure accuracy gain."
no_crisis_guard_floor,lite_train_ablation,crisis hard-floor and absolute guard,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_crisis_guard_floor_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8201754385964912,0.738436569285725,0.752917922607665,5.866438627243042,7.109830379486084,4.623046875,1.192479133605957,1.6705745458602905,1.192479133605957,9.903271675109863,1.6705745458602905,6.166322708129883,0.49407894736842106,0.7646929824561404,0.8846491228070176,C,0.6478070175438596,0.9037280701754385,0.9717105263157895,A,327.0,-0.3831510543823242,2.743457555770874,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p12_b0p7_dg0p7_hg0_cg0_rf0p08_s10p04_s20,identity+relbias_s0p16_b1_rf0_dg0p75_hg0p55_cg1p1_nf0_ht0p14_ct0p1_hf0_cf0+identity,identity,,0.0812151,0.0119367,0.150494,0.000219298,8.12394e-05,-0.000588606,0.35906,0.815322,0,0,dMAE=0.0812151; dAcc=0.000219298; dMacroF1=8.12394e-05; dHighSBPBias=0.35906,supplement_only_low_crisis_support,False,Crisis support is too small for a stable main-table claim; report only as a supplementary tail-stability check.
no_crisis_tail_debias,lite_train_ablation,crisis-tail debias/fusion search,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_crisis_tail_debias_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8201754385964912,0.738436569285725,0.752917922607665,5.866438627243042,7.109830379486084,4.623046875,1.192479133605957,1.6705745458602905,1.192479133605957,9.903271675109863,1.6705745458602905,6.166322708129883,0.49407894736842106,0.7646929824561404,0.8846491228070176,C,0.6478070175438596,0.9037280701754385,0.9717105263157895,A,327.0,-0.3831510543823242,2.743457555770874,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+evidfuse_s0p12_b0p7_dg0p7_hg0_cg0_rf0p08_s10p04_s20,identity+relbias_s0p16_b1_rf0_dg0p75_hg0p55_cg1p1_nf0_ht0p14_ct0p1_hf0_cf0+identity,identity,,0.0812151,0.0119367,0.150494,0.000219298,8.12394e-05,-0.000588606,0.35906,0.815322,0,0,dMAE=0.0812151; dAcc=0.000219298; dMacroF1=8.12394e-05; dHighSBPBias=0.35906,inactive_identity_or_no_observed_effect,False,"The crisis-tail selector chose identity/no-op under this split, so this is not informative as a main ablation."
no_safety_evidential_fusion,lite_train_ablation,safety-aware classification fusion,trained_short_head_reduced_search,shared_full_lite_head,mimic_bp_ablation_v10_18_litetrain_full_proto,mimic_bp_ablation_v10_18_litetrain_no_safety_evidential_fusion_proto,True,True,True,True,True,True,True,True,,tiny,32,8,8,0.8199561403508772,0.73930422169074,0.7537438175180038,5.866438627243042,7.109830379486084,4.623046875,1.192479133605957,1.6705745458602905,1.192479133605957,9.903271675109863,1.6705745458602905,6.166322708129883,0.49407894736842106,0.7646929824561404,0.8846491228070176,C,0.6478070175438596,0.9037280701754385,0.9717105263157895,A,327.0,-0.3831510543823242,2.743457555770874,1.0,-21.461822509765625,-1.0954208374023438,reg_router_s100_t1p5_g0p45_f0p06,cls_arbiter_over_moe_w0.842_over_mix_opt0_dual_hybrid_d30_g70_gamma110_tail100+identity,identity+relbias_s0p16_b1_rf0_dg0p75_hg0p55_cg1p1_nf0_ht0p14_ct0p1_hf0_cf0+identity,identity,,0.0812151,0.0119367,0.150494,0,0.000948892,0.000237289,0.35906,0.815322,0,0,dMAE=0.0812151; dAcc=0; dMacroF1=0.000948892; dHighSBPBias=0.35906,paper_usable,True,
